LOGO_ECI2002
LGOROWLENGTH	33
LGOMCCMYKSEPARATION	"UseCMYKSep = true Separation = { SepID = 6 StartK = '40' WidthK = '1' MaxC = '100' MaxM = '100' MaxY = '100' MaxK = '100' MaxCMYK = '400' } "
CREATED	"11/24/2005"  # Time: 14:22
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	6
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K
END_DATA_FORMAT
NUMBER_OF_SETS	1485
BEGIN_DATA
810	A1	10.00	20.00	20.00	20.00
1369	A2	80.00	65.00	65.00	0.00
1393	A3	100.00	85.00	85.00	80.00
1427	A4	0.00	7.00	7.00	0.00
1387	A5	100.00	85.00	85.00	60.00
1377	A6	10.00	6.00	6.00	10.00
558	A7	85.00	100.00	70.00	0.00
1381	A8	10.00	6.00	6.00	20.00
1394	A9	80.00	65.00	65.00	80.00
1434	A10	0.00	7.00	7.00	7.00
1388	A11	80.00	65.00	65.00	60.00
1392	A12	10.00	6.00	6.00	60.00
1382	A13	80.00	65.00	65.00	40.00
93	A14	10.00	20.00	10.00	0.00
230	A15	85.00	40.00	20.00	0.00
1430	A16	0.00	7.00	0.00	7.00
1395	A17	60.00	45.00	45.00	80.00
1376	A18	20.00	12.00	12.00	10.00
1389	A19	60.00	45.00	45.00	60.00
1380	A20	20.00	12.00	12.00	20.00
1424	A21	3.00	3.00	3.00	3.00
1385	A22	20.00	12.00	12.00	40.00
1378	A23	60.00	45.00	45.00	20.00
1391	A24	20.00	12.00	12.00	60.00
1420	A25	3.00	3.00	0.00	3.00
1397	A26	20.00	12.00	12.00	80.00
210	A27	55.00	20.00	20.00	0.00
101	A28	20.00	10.00	10.00	0.00
1432	A29	0.00	0.00	7.00	7.00
1375	A30	40.00	27.00	27.00	10.00
1384	A31	40.00	27.00	27.00	40.00
1379	A32	40.00	27.00	27.00	20.00
1	A33	0.00	0.00	0.00	0.00
970	B1	100.00	100.00	0.00	40.00
1049	B2	0.00	70.00	100.00	40.00
968	B3	100.00	40.00	0.00	40.00
336	B4	10.00	20.00	40.00	0.00
479	B5	100.00	10.00	55.00	0.00
560	B6	100.00	10.00	70.00	0.00
