LOGO_ECI2002
LGOROWLENGTH	33
LGOMCCMYKSEPARATION	"UseCMYKSep = true Separation = { SepID = 6 StartK = '40' WidthK = '1' MaxC = '100' MaxM = '100' MaxY = '100' MaxK = '100' MaxCMYK = '400' } "
CREATED	"11/24/2005"  # Time: 14:22
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	6
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K
END_DATA_FORMAT
NUMBER_OF_SETS	1485
BEGIN_DATA
171	A1	0.00	100.00	20.00	0.00
170	A2	0.00	85.00	20.00	0.00
169	A3	0.00	70.00	20.00	0.00
168	A4	0.00	55.00	20.00	0.00
167	A5	0.00	40.00	20.00	0.00
166	A6	0.00	30.00	20.00	0.00
165	A7	0.00	20.00	20.00	0.00
164	A8	0.00	10.00	20.00	0.00
163	A9	0.00	0.00	20.00	0.00
90	A10	0.00	100.00	10.00	0.00
89	A11	0.00	85.00	10.00	0.00
88	A12	0.00	70.00	10.00	0.00
87	A13	0.00	55.00	10.00	0.00
86	A14	0.00	40.00	10.00	0.00
85	A15	0.00	30.00	10.00	0.00
84	A16	0.00	20.00	10.00	0.00
83	A17	0.00	10.00	10.00	0.00
82	A18	0.00	0.00	10.00	0.00
9	A19	0.00	100.00	0.00	0.00
8	A20	0.00	85.00	0.00	0.00
7	A21	0.00	70.00	0.00	0.00
6	A22	0.00	55.00	0.00	0.00
5	A23	0.00	40.00	0.00	0.00
4	A24	0.00	30.00	0.00	0.00
3	A25	0.00	20.00	0.00	0.00
2	A26	0.00	10.00	0.00	0.00
1	A27	0.00	0.00	0.00	0.00
735	A28	0.00	100.00	0.00	20.00
734	A29	0.00	70.00	0.00	20.00
733	A30	0.00	40.00	0.00	20.00
732	A31	0.00	20.00	0.00	20.00
731	A32	0.00	10.00	0.00	20.00
730	A33	0.00	0.00	0.00	20.00
180	B1	10.00	100.00	20.00	0.00
179	B2	10.00	85.00	20.00	0.00
178	B3	10.00	70.00	20.00	0.00
177	B4	10.00	55.00	20.00	0.00
176	B5	10.00	40.00	20.00	0.00
175	B6	10.00	30.00	20.00	0.00
174	B7	10.00	20.00	20.00	0.00
173	B8	10.00	10.00	20.00	0.00
