LGOROWLENGTH	27
LGOMCCMYKSEPARATION	"UseCMYKSep = true Separation = { SepID = 6 StartK = '40' WidthK = '1' MaxC = '100' MaxM = '100' MaxY = '100' MaxK = '100' MaxCMYK = '400' } "
CREATED	"11/24/2005"  # Time: 14:22
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT
NUMBER_OF_SETS	918
BEGIN_DATA
1	A1	0.00	0.00	0.00
2	A2	0.00	32.00	0.00
3	A3	0.00	64.00	0.00
4	A4	0.00	96.00	0.00
5	A5	0.00	128.00	0.00
6	A6	0.00	160.00	0.00
7	A7	0.00	192.00	0.00
8	A8	0.00	224.00	0.00
9	A9	0.00	255.00	0.00
10	A10	0.00	0.00	32.00
11	A11	0.00	32.00	32.00
12	A12	0.00	64.00	32.00
13	A13	0.00	96.00	32.00
14	A14	0.00	128.00	32.00
15	A15	0.00	160.00	32.00
16	A16	0.00	192.00	32.00
17	A17	0.00	224.00	32.00
18	A18	0.00	255.00	32.00
19	A19	0.00	0.00	64.00
20	A20	0.00	32.00	64.00
21	A21	0.00	64.00	64.00
22	A22	0.00	96.00	64.00
23	A23	0.00	128.00	64.00
24	A24	0.00	160.00	64.00
25	A25	0.00	192.00	64.00
26	A26	0.00	224.00	64.00
27	A27	0.00	255.00	64.00
28	B1	32.00	0.00	0.00
29	B2	32.00	32.00	0.00
30	B3	32.00	64.00	0.00
31	B4	32.00	96.00	0.00
32	B5	32.00	128.00	0.00
33	B6	32.00	160.00	0.00
34	B7	32.00	192.00	0.00
35	B8	32.00	224.00	0.00
36	B9	32.00	255.00	0.00
37	B10	32.00	0.00	32.00
38	B11	32.00	32.00	32.00
39	B12	32.00	64.00	32.00
40	B13	32.00	96.00	32.00
41	B14	32.00	128.00	32.00
42	B15	32.00	160.00	32.00
43	B16	32.00	192.00	32.00
44	B17	32.00	224.00	32.00
45	B18	32.00	255.00	32.00
46	B19	32.00	0.00	64.00
47	B20	32.00	32.00	64.00
48	B21	32.00	64.00	64.00
49	B22	32.00	96.00	64.00
50	B23	32.00	128.00	64.00
51	B24	32.00	160.00	64.00
52	B25	32.00	192.00	64.00
53	B26	32.00	224.00	64.00
54	B27	32.00	255.00	64.00
55	C1	64.00	0.00	0.00
56	C2	64.00	32.00	0.00
57	C3	64.00	64.00	0.00
58	C4	64.00	96.00	0.00
59	C5	64.00	128.00	0.00
60	C6	64.00	160.00	0.00
61	C7	64.00	192.00	0.00
62	C8	64.00	224.00	0.00
63	C9	64.00	255.00	0.00
64	C10	64.00	0.00	32.00
65	C11	64.00	32.00	32.00
66	C12	64.00	64.00	32.00
